,phonemic_transcription
126955,P EH L V IH K
126956,F EH L P S IH Z
126957,P R EH L IH T
126958,P R EH L IH T S
126959,P R EH L W IH T S
126960,K W EH L IH NG
126961,R EH L IH NG
126962,R EH L IH K
126963,R EH L IH K S
126964,R EH L IH SH
126965,R EH L IH SH T
126966,SH EH L IH N
126967,S K EH L IH NG
126968,SH M EH L IH NG
126969,S EH L D IH N
126970,S EH L F IH SH
126971,S EH L F R IH JH
126972,S EH L IH G
126973,S EH L IH N
126974,S EH L K IH N
126975,S EH L IH K
126976,S EH L IH K
126977,S EH L IH N
126978,S EH L IH NG
126979,S EH L IH NG Z
126980,S EH L V IH JH
126981,S EH L V IH JH
126982,S EH L V IH G
126983,S EH L W IH N
126984,S EH L W IH T S
126985,S EH L W IH N
126986,SH EH L IH V
126987,SH EH L F IH SH
126988,SH EH L IH NG
126989,SH EH L IH NG Z
126990,SH EH L V IH NG
126991,S M EH L IH NG
126992,S M EH L T IH NG
126993,S N EH L IH NG
126994,S N EH L IH NG Z
126995,S P EH L IH NG
126996,S P EH L IH NG Z
126997,S P EH L IH NG Z
126998,S K W EH L CH IH NG
126999,S T EH L IH K
127000,S T EH L IH N
127001,S T EH L IH NG
127002,S T EH L IH NG
127003,S W EH L IH NG
127004,T EH L IH T
127005,T EH L IH N
127006,T EH L IH NG
127007,T EH L IH S
127008,T EH L CH IH K
127009,TH EH L IH N
127010,V EH L IH Z
127011,W EH L IH NG
127012,W EH L B IH L T
127013,W EH L B IH L T S
127014,W EH L CH IH Z
127015,W EH L D IH D
127016,W EH L D IH N
127017,W EH L D IH NG
127018,W EH L IH N S K
127019,W EH L IH NG
127020,W EH L N IH T S
127021,W EH L Z IH Z
127022,W EH L S P R IH NG
127023,Y EH L IH N
127024,Y EH L IH N
127025,Y EH L IH NG
127026,Y EH L P IH NG
127027,Z EH L D IH N
127028,Z EH L IH K
127029,Z EH L IH F
127030,Z EH L N IH K
127031,Z EH L V IH N
127032,R IY S EH L IH NG
127033,R IY T EH L IH NG
127034,S T AO R IY T EH L IH NG
127035,IY AA K OW B EH L IH S
127036,AW T S EH L IH NG
127037,AH L EH L IH K
127038,AH P EH L IH T
127039,K AH M P EH L IH NG
127040,HH AH Z EH L R IH G
127041,K AH S T EH L IH K
127042,K AH S T EH L N IH K
127043,M AH K EH L IH P S
127044,P AH V EH L IH K
127045,P R AH P EH L IH NG
127046,R AH P EH L IH NG
127047,R AH P EH L IH NG
127048,V AH K EH L IH HH
127049,AE N T AH N EH L IH S
127050,P EH R AH L EH L IH NG
127051,S AY K AH D EH L IH K
127052,OW V ER S EH L IH NG
127053,OW V ER W EH L M IH NG
127054,OW V ER HH W EH L M IH NG
127055,AH N D ER S EH L IH NG
127056,AE N JH EH L IH K
127057,D AE N Y EH L Z IH Z
127058,D AE N Y EH L Z IH Z
127059,B EH K T EH L Z V IH L
127060,B EH S T S EH L IH NG
127061,B EH S EH L IH NG
127062,EH M B EH L IH SH T
127063,EH K S EH L IH NG
127064,M AY K EH L IH S
127065,D IH F EH L IH S
127066,D IH L EH L IH S
127067,D IH F EH L IH S
127068,D IH S P EH L IH NG
127069,D IH V EH L B IH S
127070,IH M B EH L IH SH
127071,IH K S P EH L IH NG
127072,M IH D EH L IH N
127073,M IH S S P EH L IH NG
127074,M IH S P EH L IH NG
127075,R IH B EH L IH NG
127076,F L UW EH L IH NG
127077,L UW EH L IH NG
127078,L UW EH L IH N
127079,L UW EH L IH N
127080,F AO R T EH L IH NG
127081,HH EY Z EH L R IH G
127082,B Y UW TH IH N
127083,B L UW IH T
127084,B L UW IH T
127085,B L UW M IH NG
127086,B L UW M K W IH S T
127087,B L UW CH IH P
127088,B L UW IH NG
127089,B L UW IH SH
127090,B L UW P R IH N T
127091,B L UW P R IH N T S
127092,B L UW IH NG
127093,B L UW IH SH
127094,B UW IH NG
127095,B UW M IH NG
127096,B UW N V IH L
127097,B UW S T IH D
127098,B UW S T IH NG
127099,B UW T IH D
127100,B UW T IH NG
127101,B UW Z IH NG
127102,B UW D IH N
127103,B R UW N IH G
127104,B R UW IH NG
127105,B R UW D IH D
127106,B R UW D IH NG
127107,B R UW K IH N Z
127108,B R UW M S T IH K
127109,B R UW M S T IH K S
127110,B R UW N IH NG
127111,B R UW JH IH Z
127112,B R UW IH N
127113,B R UW IH N Z
127114,B R UW IH N Z
127115,B R UW Z IH Z
127116,B R UW Z IH NG
127117,B R UW M IH T
127118,B R UW M IH T
127119,B R UW N IH K
127120,B R UW N IH NG
127121,B R UW T IH NG
127122,B R UW T IH SH
127123,B R UW IH N Z
127124,B UW D IH N
127125,B Y UW S IH NG
127126,B Y UW G L IH NG
127127,B Y UW IH K
127128,B Y UW IH K S
127129,B Y UW IH K S
127130,B UW IH S T
127131,B Y UW L IH N
127132,B UW L IH T
127133,CH UW IH NG
127134,CH UW N IH NG
127135,CH UW Z IH Z
127136,CH UW Z IH NG
127137,K UW IH
127138,K L UW IH S
127139,K L UW IH T
127140,K UW IH NG
127141,K UW L IH JH
127142,K UW L IH NG
127143,K UW V IH K
127144,K R UW M IH N
127145,K R UW N IH NG
127146,K R UW Z IH Z
127147,K R UW Z IH NG
127148,K R UW Z IH Z
127149,K Y UW B IH K
127150,K Y UW B IH K S
127151,K Y UW B IH S T
127152,K Y UW B IH T
127153,K Y UW IH NG
127154,K UW M IH NG Z
127155,K Y UW P IH D
127156,K Y UW P IH D Z
127157,K Y UW P IH T
127158,K Y UW Z IH K
127159,K Y UW Z IH K
127160,K Y UW S IH P
127161,K Y UW T IH S T
127162,D UW IH R D
127163,D UW IH NG
127164,D UW IH N
127165,D UW IH NG
127166,D UW IH NG Z
127167,D UW L IH N
127168,D UW L IH NG
127169,D UW M IH NG
127170,D UW TH IH T
127171,D UW TH IH T
127172,D UW V IH L
127173,D R UW IH T
127174,D R UW L IH NG
127175,D R UW P IH NG
127176,D R UW IH D
127177,D R UW IH D Z
127178,D UW B IH N
127179,D UW B IH S
127180,D UW CH IH N
127181,D UW D IH K
127182,D UW D IH K
127183,D UW L IH NG
127184,D UW S IH NG
127185,D UW F IH K
127186,D UW IH Z
127187,D UW K IH NG
127188,D UW L IH N
127189,D Y UW L IH NG
127190,D UW S IH NG
127191,Y UW K L IH D
127192,Y UW L IH K
127193,Y UW N IH S
127194,Y UW S T IH S
127195,Y UW IH G
127196,Y UW IH NG
127197,Y UW IH NG Z
127198,Y UW IH NG Z
127199,F Y UW D IH D
127200,F Y UW D IH NG
127201,F L UW IH D
127202,F L UW IH D Z
127203,F L UW T IH S T
127204,F UW L IH NG
127205,F UW L IH SH
127206,F R UW IH N
127207,F R UW L IH NG
127208,F R UW IH N
127209,F R UW T IH NG
127210,F Y UW L IH NG
127211,F Y UW L IH NG
127212,F Y UW JH IH T
127213,F Y UW JH IH T
127214,F Y UW JH IH S
127215,F Y UW M IH NG
127216,F Y UW Z IH Z
127217,F Y UW Z IH NG
127218,F Y UW Z IH Z
127219,G UW L IH SH
127220,G UW F IH NG
127221,G UW G IH N
127222,G UW G IH N Z
127223,G UW G L IH NG
127224,G UW S F IH SH
127225,G UW L D IH NG
127226,G R UW M IH NG
127227,G R UW P IH NG
127228,G R UW P IH NG Z
127229,G R UW IH L
127230,G R UW L IH NG
127231,G R UW IH T
127232,G R UW IH Z
127233,G Y UW L IH K
127234,G UW L IH JH
127235,G UW L IH T
127236,G Y UW Z IH Z
127237,G Y UW Z IH K
127238,HH Y UW IH T
127239,HH Y UW IH NG
127240,HH Y UW IH N Z
127241,HH Y UW IH T
127242,HH Y UW IH T S
127243,HH Y UW L IH T
127244,HH UW T IH D
127245,HH R UW B IH K
127246,HH UW D IH K
127247,HH UW D IH K
127248,HH Y UW G L IH N
127249,HH Y UW Z IH Z
127250,Y UW Z IH Z
127251,HH Y UW IH T
127252,Y UW IH T
127253,HH Y UW L IH T
127254,Y UW L IH T
127255,HH UW IH
127256,HH Y UW IH SH
127257,Y UW IH SH
127258,HH Y UW K IH L
127259,Y UW K IH L
127260,HH UW L IH T
127261,HH Y UW L IH T
127262,Y UW L IH T
127263,HH Y UW L IH K
127264,Y UW L IH K
127265,HH Y UW L IH N
127266,Y UW L IH N
127267,HH Y UW L IH NG
127268,Y UW L IH NG
127269,HH Y UW L IH NG Z
127270,Y UW L IH NG Z
127271,HH UW L IH T
127272,HH Y UW M IH D
127273,Y UW M IH D
127274,HH Y UW Z IH K
127275,JH UW IH L
127276,JH UW IH T
127277,JH UW F IH SH
127278,JH UW IH SH
127279,JH UW IH T
127280,JH UW D IH S
127281,JH UW D IH TH
127282,JH UW L IH N
127283,JH UW S IH Z
127284,JH UW L IH N
127285,JH UW N IH K
127286,JH UW P IH N
127287,Y UW S T IH S
127288,K L UW JH IH Z
127289,K UW N IH G
127290,K UW N IH NG
127291,K R UW T IH K
127292,K Y UW B IH K
127293,K Y UW B IH K
127294,K Y UW B IH K
127295,K Y UW B IH N
127296,K UW B IH S
127297,K Y UW B IH T S
127298,K Y UW B R IH K
127299,K Y UW B R IH K S
127300,K UW K Y IH
127301,K Y UW L IH K
127302,K Y UW L IH K
127303,K Y UW L IH G
127304,K Y UW L IH K
127305,K UW L IH S
127306,K Y UW L IH SH
127307,K Y UW N IH N
127308,K UW P IH K
127309,K UW V IH N
127310,L UW IH N
127311,L UW IH NG
127312,L UW IH N Z
127313,L UW IH S
127314,L UW IH S
127315,L UW M IH NG
127316,L UW M IH S
127317,L UW P IH NG
127318,L UW S IH Z
127319,L UW S IH NG
127320,L UW T IH D
127321,L UW T IH NG
127322,L UW Z IH Z
127323,L UW Z IH NG
127324,L UW IH S
127325,L UW IH S
127326,L UW B IH N
127327,L UW B IH T S
127328,L UW S IH Z
127329,L UW S IH N T
127330,L UW S IH D
127331,L UW S IH
127332,L UW IH K
127333,L UW IH
127334,L UW K IH N
127335,L UW K IH N Z
127336,L UW IH N
127337,M UW N L IH T
127338,M UW V IH NG
127339,M UW IH
127340,M UW L IH T
127341,M Y UW N IH K
127342,M Y UW N IH K S
127343,M Y UW N IH S
127344,M Y UW N IH Z
127345,M Y UW Z IH Z
127346,M Y UW Z IH K
127347,M Y UW Z IH K S
127348,M Y UW S IH K
127349,M Y UW S IH K
127350,M Y UW Z IH K S
127351,M Y UW S IH N
127352,M Y UW Z IH NG
127353,M Y UW Z IH NG Z
127354,M Y UW T IH D
127355,M Y UW T IH NG
127356,M Y UW T S IH CH
127357,M Y UW Z IH K
127358,N UW V IH L
127359,N UW B IH L
127360,N UW B R IH JH
127361,N UW IH SH
127362,N UW L IH N
127363,N UW L IH N
127364,N UW K W IH S T
127365,N UW Z IH Z
127366,N UW Z L IH NG K
127367,N UW Z L IH NG K S
127368,N UW Z M IH N
127369,N UW Z P R IH N T
127370,N UW V IH L
127371,N UW D IH S T
127372,N UW T R IH
127373,UW Z IH Z
127374,UW Z IH NG
127375,P Y UW IH T
127376,P L UW M IH JH
127377,P UW CH IH Z
127378,P UW L IH NG
127379,P UW S IH N
127380,P R UW IH T
127381,P R UW IH T
127382,P R UW F IH NG
127383,P R UW V IH NG
127384,P R UW D IH SH
127385,P R UW D IH T
127386,P R UW IH T
127387,P R UW IH T
127388,P R UW N IH NG
127389,P Y UW B IH K
127390,P Y UW JH IH T
127391,P Y UW K IH NG
127392,P UW L IH S
127393,P UW M IH NG
127394,P Y UW N IH K
127395,P UW T IH N
127396,P Y UW T R IH D
127397,K Y UW IH NG
127398,R UW IH S
127399,R UW F IH NG
127400,R UW M IH NG
127401,R UW S T IH D
127402,R UW T IH D
127403,R UW T IH NG
127404,R UW T K IH T
127405,R UW T IH D
127406,R UW T IH NG
127407,R UW IH N
127408,R UW B IH K
127409,R UW B IH K S
127410,R UW B IH N
127411,R UW B IH N Z
127412,R UW B IH S
127413,R UW B R IH K
127414,R UW D IH K
127415,R UW D IH N
127416,R UW D IH NG
127417,R UW IH N
127418,R UW IH N D
127419,R UW IH N Z
127420,R UW IH Z
127421,R UW L IH NG
127422,R UW L IH NG Z
127423,R UW L IH NG Z
127424,R UW Z IH Z
127425,R UW S IH N
127426,SH M UW Z IH NG
127427,S K UW L IH NG
127428,S K Y UW L K IH L
127429,S K UW P IH NG
127430,S K R UW IH NG
127431,S UW IH JH
127432,S UW IH L
127433,SH M UW Z IH NG
127434,SH UW P R IH N T
127435,SH UW P R IH N T S
127436,SH UW S T R IH NG
127437,SH UW T IH N
127438,SH UW T IH N
127439,SH UW T IH NG
127440,SH UW T IH NG Z
127441,SH UW B IH N
127442,SH UW P IH NG
127443,S K Y UW IH NG
127444,S L UW TH IH NG
127445,S L UW S IH NG
127446,S L UW P IH K
127447,S M UW CH IH Z
127448,S M UW DH IH N
127449,S M UW DH IH N Z
127450,S M UW DH IH NG
127451,S N UW P IH NG
127452,S N UW Z IH NG
127453,S UW DH IH NG
127454,S P Y UW IH NG
127455,S P UW F IH NG
127456,S P R UW S IH NG
127457,S T Y UW B IH N
127458,S T UW B IH N
127459,S T UW IH NG
127460,S T UW JH IH Z
127461,S T UW P IH NG
127462,S T UW P IH D
127463,S T UW T V IH L
127464,S UW B IH K
127465,S UW B L IH T
127466,S UW IH NG
127467,S UW T IH D
127468,S UW T IH NG
127469,S UW L IH K
127470,S UW L IH K
127471,S UW N IH L
127472,S W UW N IH NG
127473,S W UW P IH NG
127474,SH UW CH IH K
127475,TH Y UW L IH S
127476,TH UW L IH N
127477,T UW L IH NG
127478,T UW TH P IH K
127479,T UW TH P IH K S
127480,T UW P IH N
127481,T R UW P IH NG
127482,T R UW IH S T
127483,T R UW P IH N
127484,T R UW P IH N Z
127485,T UW B IH NG
127486,T UW L IH P
127487,T UW L IH P S
127488,T UW L IH P S
127489,T UW N IH K
127490,T UW N IH NG
127491,T UW N IH S
127492,T UW S IH NG
127493,Y UW G R IH K
127494,UW L IH K
127495,UW L IH G
127496,Y UW L IH N
127497,Y UW N IH T
127498,Y UW N IH T S
127499,Y UW N IH T S
127500,Y UW N IH T S
127501,Y UW N IH K S
127502,UW P L IH NG K
127503,UW P L IH NG K D
127504,UW P L IH NG K S
127505,Y UW S IH JH
127506,Y UW S IH Z
127507,Y UW Z IH Z
127508,Y UW Z IH NG
127509,V Y UW IH NG
127510,W UW P IH NG
127511,HH W UW P IH NG
127512,W UW IH NG
127513,W UW N D IH D
127514,W UW N D IH NG
127515,W UW IH S T
127516,Y UW S IH F
127517,Y UW V IH L
127518,Y UW N IH CH
127519,Y UW N IH S
127520,Z UW M IH NG
127521,Z UW B IH N
127522,Z UW K IH N
127523,AA R G Y UW IH NG
127524,K AA R T UW N IH NG
127525,K AA R T UW N IH S T S
127526,R IY R UW T IH D
127527,R IY R UW T IH NG
127528,K R OW K Y UW S IH Z
127529,P R OW T R UW D IH NG
127530,IH N T R OW D UW S IH Z
127531,IH N T R OW D UW S IH NG
127532,AW T D UW IH NG
127533,S OY UW Z IH Z
127534,D AY L UW T IH NG
127535,EY B R UW T IH N
127536,D EY B Y UW T IH D
127537,D EY B Y UW T IH NG
127538,D IY L UW T IH V
127539,N IY N HH UW IH Z
127540,P R IY K L UW D IH D
127541,P R IY Z UW M IH NG
127542,P R IY V Y UW IH NG
127543,R IY B Y UW K IH NG
127544,R IY K L UW S IH V
127545,R IY K R UW T IH D
127546,R IY K R UW T IH NG
127547,R IY D UW IH NG
127548,R IY D UW S IH Z
127549,R IY F Y UW L IH NG
127550,R IY G R UW P IH NG
127551,R IY M UW V IH NG
127552,R IY N UW Z IH T
127553,R IY P Y UW T IH D
127554,R IY Z UW M IH NG
127555,R IY T UW L IH NG
127556,R IY Y UW Z IH NG
127557,R IY V Y UW IH NG
127558,AH N R IY F Y UW T IH D
127559,K AA M Y UW N IH S T S
127560,K AA N D UW IH T
127561,K AA N JH UW IH T
127562,M AA F UW Z IH Z
127563,M AA L D UW T IH S
127564,N AA N R UW L IH NG
127565,N AA N R UW L IH NG
127566,AA UW L IH T
127567,K W AA D R UW P L IH NG
127568,N AA N K AA M Y UW N IH S T
127569,N AA N K AA M Y UW N IH S T S
127570,N AA N K AA M Y UW N IH S T
127571,N AA N K AA M Y UW N IH S T S
127572,P R OW L UW K IH N
127573,AH B Y UW S IH Z
127574,AH B Y UW Z IH Z
127575,AH B Y UW Z IH NG
127576,AH B Y UW S IH V
127577,AH K R UW IH NG
127578,AH K Y UW Z IH Z
127579,AH K Y UW Z IH NG
127580,AH K UW S T IH K
127581,AH K UW S T IH K S
127582,AH L UW D IH NG
127583,AH L UW S IH V
127584,AH M Y UW Z IH Z
127585,AH M Y UW Z IH NG
127586,AH N UW IH T
127587,AH N UW B IH S
127588,AH P R UW V IH NG
127589,AH S UW M IH NG
127590,B AH L UW N IH NG
127591,B AH L UW N IH S T
127592,B AH L UW N IH S T S
127593,B AH L DH UW IH Z
127594,K AH B UW S IH Z
127595,K AH N UW IH NG
127596,K AH K UW N IH NG
127597,K AH L UW D IH D
127598,K AH L UW D IH NG
127599,K AH L UW S IH V
127600,K AH M Y UW N IH NG
127601,K AH M Y UW T IH D
127602,K AH M Y UW T IH NG
127603,K AH M P Y UW T IH D
127604,K AH M P Y UW T IH NG
127605,K AH N K L UW D IH D
127606,K AH N K L UW D IH NG
127607,K AH N K L UW S IH V
127608,K AH N D UW S IH V
127609,K AH N F Y UW Z IH Z
127610,K AH N F Y UW Z IH NG
127611,K AH N S UW M IH NG
127612,D AH L UW T IH V
127613,G AH B UW D IH N
127614,G AH B UW D IH N Z
127615,Y AH K UW B IH K
127616,L AH D UW IH G
127617,M AH T Y UW L IH HH
127618,M AH T UW S IH K
127619,M AH N UW HH IH N
127620,AH B T R UW S IH V
127621,P AH L UW T IH D
127622,P AH L UW T IH NG
127623,P R AH D UW S IH Z
127624,P R AH D UW S IH NG
127625,R AH S P Y UW T IH N
127626,R AH K R UW T IH NG
127627,R AH F Y UW Z IH NG
127628,R AH S T P R UW F IH NG
127629,S AH L UW T IH NG
127630,S AH B D UW IH NG
127631,S AH F Y UW Z IH Z
127632,S AH F Y UW Z IH NG
127633,AH N D UW IH NG
127634,AH N S UW T IH D
127635,AH P R UW T IH D
127636,AH P R UW T IH NG
127637,R IY P R AH D UW S IH Z
127638,R IY P R AH D UW S IH NG
127639,K AA N S T AH T UW T IH NG
127640,N AA N AH K R UW IH NG
127641,R IY K AA N S T AH T UW T IH D
127642,AH N AH S UW M IH NG
127643,AH N D AH L UW T IH D
127644,AH N AH B T R UW S IH V
127645,T EH L AH K AH M Y UW T IH NG
127646,OW V ER P R AH D Y UW S IH NG
127647,S UW P ER K AH M P Y UW T IH NG
127648,AE B S AH L UW T IH S T
127649,B AE T AH N R UW JH IH Z
127650,S EH N T R AH F Y UW JH IH Z
127651,EH K S AH K Y UW T IH D
127652,EH K S AH K Y UW T IH NG
127653,P EH R AH SH UW T IH D
127654,P EH R AH SH UW T IH NG
127655,TH EH R AH P Y UW T IH K
127656,TH EH R AH P Y UW T IH K S
127657,B AY OW TH EH R AH P Y UW T IH K
127658,B AY OW TH EH R AH P Y UW T IH K S
127659,S AY K OW TH EH R AH P Y UW T IH K
127660,IH L EH K T R AH K Y UW T IH D
127661,HH AY F AH L UW T IH N
127662,D IH S AH B Y UW S IH Z
127663,D IH S AH P R UW V IH NG
127664,IH N K AH N K L UW S IH V
127665,IH N T R AH D UW S IH Z
127666,IH N T R AH D UW S IH NG
127667,M IH S K AH N S T R UW IH NG
127668,R IH D AH K Y UW L IH NG
127669,R IY IH N S T AH T UW T IH NG
127670,R IY IH N T R AH D UW S IH Z
127671,R IY IH N T R AH D UW S IH NG
127672,AE K Y UW S IH S T
127673,AE L Y UW S W IH S
127674,SH AE P UW IH Z
127675,F AE N Y UW IH L
127676,K AE S P Y UW T IH S
127677,L AE D UW IH G
127678,M AE L UW K IH N
127679,M AE TH Y UW Z IH Z
127680,T AE T UW IH NG
127681,V AE K Y UW M IH NG
127682,V AE L Y UW IH NG
127683,R IY V AE L Y UW IH NG
127684,AH M AE S K Y UW L IH T
127685,AH N D ER V AE L Y UW IH NG
127686,D IH V AE L Y UW IH NG
127687,IH M AE K Y UW L IH T
127688,B ER G HH UW IH Z
127689,CH ER UW B IH K
127690,ER TH M UW V IH NG
127691,M ER UW K IH N
127692,P ER F Y UW M IH NG
127693,P ER UW Z IH Z
127694,P ER UW Z IH NG
127695,P ER S UW IH NG
127696,V ER S L UW IH Z
127697,AA P ER T UW N IH S T
127698,AA P ER T UW N IH S T S
127699,OW V ER D UW IH NG
127700,OW V ER R UW L IH NG
127701,OW V ER SH UW T IH NG
127702,OW V ER Y UW Z IH Z
127703,OW V ER Y UW Z IH NG
127704,K AW N T ER S UW IH NG
127705,V AE N D ER S L UW IH S
127706,F AY ER P R UW F IH NG
127707,IH N T ER L UW K IH N
127708,IH N T ER V Y UW IH NG
127709,W AO T ER P R UW F IH NG
127710,B EH D UW IH N
127711,B EH D UW IH N Z
127712,K EH R Y UW N IH T
127713,K EH R Y UW N IH T S
127714,D EH B R UW IH N
127715,EH F Y UW S IH V
127716,EH M Y UW IH L
127717,EH M Y UW IH L Z
127718,EH N S UW IH NG
127719,EH SH UW IH NG
127720,EH S K Y UW IH NG
127721,JH EH ZH UW IH T
127722,JH EH ZH UW IH T S
127723,R EH F Y UW JH IH Z
127724,R EH F Y UW JH IH Z
127725,R EH S K Y UW IH NG
127726,S K EH JH UW L IH NG
127727,V EH R D UW IH N
127728,R IY S K EH JH UW L IH NG
127729,R IY SH K EH JH UW L IH NG Z
127730,B AO D UW IH N
127731,AO K Y UW L IH S T
127732,R AO NG D UW IH NG
127733,R AO NG D UW IH NG Z
127734,D IH F Y UW Z IH NG
127735,D IH L UW D IH D
127736,D IH L UW D IH NG
127737,D IH N UW D IH D
127738,D IH N UW D IH NG
127739,D IH F Y UW Z IH NG
127740,D IH L UW T IH NG
127741,D IH S P R UW V IH N
127742,D IH S P Y UW T IH D
127743,D IH S P Y UW T IH NG
127744,IH L UW D IH D
127745,IH L UW D IH NG
127746,IH L UW S IH V
127747,IH K S K L UW D IH D
127748,IH K S K L UW D IH NG
127749,IH K S K L UW S IH V
127750,IH K S K L UW S IH V Z
127751,IH K S K Y UW S IH Z
127752,IH K S K Y UW Z IH Z
127753,IH K S K Y UW Z IH NG
127754,IH K S T R UW D IH NG
127755,IH G Z UW D IH D
127756,IH G Z UW D IH NG
127757,HH IH R UW B IH K
127758,IH L UW S IH V
127759,IH M P R UW V IH NG
127760,IH M P Y UW N IH NG
127761,IH M P Y UW T IH D
127762,IH N K L UW D IH D
127763,IH N K L UW D IH NG
127764,IH N K L UW S IH V
127765,IH N D UW S IH Z
127766,IH N D UW S IH NG
127767,IH N F Y UW Z IH Z
127768,IH N F Y UW Z IH NG
127769,IH N T R UW D IH NG
127770,IH N T R UW S IH V
127771,IH SH UW IH NG
127772,M IH N Y UW IH N
127773,M IH K UW L IH K
127774,M IH K UW L IH K
127775,M IH K UW L IH CH
127776,M IH S Y UW Z IH Z
127777,M IH S Y UW S IH Z
127778,M IH S Y UW Z IH NG
127779,P R IH K L UW D IH D
127780,P R IH K L UW D IH NG
127781,P R IH Z UW M IH NG
127782,R IH K L UW S IH V
127783,R IH K UW P IH NG
127784,R IH K R UW T IH D
127785,R IH K R UW T IH NG
127786,R IH K Y UW Z IH NG
127787,R IH D UW S IH Z
127788,R IH D UW S IH NG
127789,R IH F Y UW Z N IH K
127790,R IH F Y UW Z N IH K S
127791,R IH F Y UW Z IH Z
127792,R IH F Y UW Z IH NG
127793,R IH F Y UW T IH D
127794,R IH F Y UW T IH NG
127795,R IH N UW IH NG
127796,R IH P Y UW T IH D
127797,R IH Z UW M IH NG
127798,S IH K L UW D IH D
127799,S IH D UW S IH NG
127800,R IY IH SH UW IH NG
127801,B AA R B IH K Y UW IH NG
127802,B AA R B IH K Y UW IH NG
127803,N AA N IH K S K L UW S IH V
127804,N AA N IH K S K L UW S IH V
127805,P R AA S IH K Y UW T IH D
127806,P R AA S IH K Y UW T IH NG
127807,R IY K AA N S T IH T UW T IH NG
127808,K AH N T IH N Y UW IH NG
127809,K AH N T R IH B Y UW T IH D
127810,K AH N T R IH B Y UW T IH NG
127811,S AH B S T IH T UW T IH NG
127812,AH N D IH S P Y UW T IH D
127813,D IH S K AH N T IH N Y UW IH NG
127814,P ER S IH K Y UW T IH NG
127815,D IH S T R IH B Y UW T IH NG
127816,D IH S T R IH B Y UW T IH V
127817,IH N S T IH T UW T IH D
127818,IH N S T IH T UW T IH NG
127819,R IY D IH S T R IH B Y UW T IH D
127820,R IY D IH S T R IH B Y UW T IH NG
127821,R IY D IH S T R IH B Y UW T IH V
127822,R IY IH N S T IH T UW T IH D
127823,AH N D IH S T R IH B Y UW T IH D
127824,N AO R IH N CH UW K IH N
127825,HH Y UW M Y UW L IH N
127826,AO L
127827,AO L Z
127828,AO L Z
127829,AO B
127830,AO CH
127831,AO D
127832,AO JH
127833,AO T
127834,AO L
127835,AO L D
127836,AO L D Z
127837,AO L
127838,AO L T
127839,AO N
127840,AO NG
127841,AO N T
127842,AO N T S
127843,AO N T S
127844,AO N T S
127845,AO S T
127846,AO TH
127847,AO
127848,AO
127849,AO D
127850,B AO L D
127851,B AO K
127852,B AO K T
127853,B AO K S
127854,B AO L
127855,B AO L Z
127856,B AO L D
127857,B AO L Z
127858,B AO L T S
127859,B AO L Z
127860,B AO CH
127861,B AO D
127862,B AO
127863,B AO N
127864,B AO M
127865,B AO N
127866,B AO Z
127867,B AO T S
127868,B AO D
127869,B AO L
127870,B AO L D
127871,B AO L Z
127872,B L AO CH
127873,B L AO M
127874,B L AO G
127875,B L AO G Z
127876,B L AO S
127877,B AO F
127878,B AO G
127879,B AO G D
127880,B AO G Z
127881,B AO G Z
127882,B AO M
127883,B AO N Z
127884,B AO SH
127885,B AO S
127886,B AO S
127887,B AO T
127888,B R AO CH
127889,B R AO D
127890,B R AO D
127891,B R AO L T
127892,B R AO N
127893,B R AO N Z
127894,B R AO N D
127895,B R AO N
127896,B R AO N Z
127897,B R AO Z
127898,B R AO L
127899,B R AO L Z
127900,B R AO N
127901,B R AO D
127902,B R AO D Z
127903,B R AO SH
127904,B R AO S
127905,B R AO TH
127906,B R AO TH S
127907,B R AO T
127908,K AO K
127909,K AO L
127910,K AO L Z
127911,K AO L D
127912,K AO L Z
127913,K AO T
127914,K AO L
127915,K AO K
127916,K AO Z
127917,K AO Z D
127918,K AO
127919,CH AO K
127920,CH AO K T
127921,CH AO K S
127922,CH AO N S
127923,CH AO
127924,CH AO NG
127925,K L AO D
127926,K L AO D
127927,K L AO N CH
127928,K L AO Z
127929,K L AO Z
127930,K L AO Z
127931,K L AO S
127932,K L AO
127933,K L AO D
127934,K L AO Z
127935,K L AO G D
127936,K L AO S
127937,K L AO TH
127938,K L AO TH S
127939,K AO K T
127940,K AO G
127941,K AO NG
127942,K AO N T
127943,K AO S
127944,K AO S
127945,K AO S T
127946,K AO S T S
127947,K AO F
127948,K AO F T
127949,K AO F S
127950,K R AO L
127951,K R AO
127952,K R AO N
127953,K R AO
127954,K R AO L
127955,K R AO L D
127956,K R AO L Z
127957,K R AO F
127958,K R AO F T
127959,K R AO F T S
127960,K R AO S
127961,K R AO S
127962,K R AO S T
127963,K W AO NG
127964,D AO L
127965,D AO B
127966,D AO B
127967,D AO B D
127968,D AO L
127969,D AO L T
127970,D AO M
127971,D AO N
127972,D AO N T
127973,D AO Z
127974,D AO
127975,D AO
127976,D AO Z
127977,D AO N
127978,D AO N Z
127979,D AO N D
127980,D AO N Z
127981,D AO Z
127982,D AO F
127983,D AO F S
127984,D AO G
127985,D AO G Z
127986,D AO G D
127987,D AO G Z
127988,D AO G Z
127989,D AO NG
127990,D AO NG G
127991,D AO S
127992,D AO SH
127993,D AO S
127994,D AO TH
127995,D R AO N
127996,D R AO Z
127997,D R AO
